building,town,county,occurrences,candidate_tower_id,candidate_confidence,decision,decision_reason
Elizabeth College Mini Ring,St Peter Port,Guernsey,35,25248,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,North Kilworth,Leicestershire,35,13520,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Northampton,Northamptonshire,35,15709,high,accept,"high confidence, verified sample and dedication tokens"
St James Garlickhythe,City of London,,35,16578,high,accept,"high confidence, verified sample and dedication tokens"
,Rothwell,Northants,35,16897,high,accept,"high confidence, verified sample and dedication tokens"
St Giles,Northampton,Northamptonshire,35,13785,high,accept,"high confidence, verified sample and dedication tokens"
St Magnus the Martyr,City of London,,35,13189,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Holywell,Cambridgeshire,34,15952,high,accept,"high confidence, verified sample and dedication tokens"
SS Mary and Michael,Trumpington,Cambridgeshire,34,10245,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Maidstone,,34,11883,high,accept,"high confidence, verified sample and dedication tokens"
NB Thistle,Edstone Aqueduct,Warwickshire,33,,none,reject,resolver found no tower
All Saints,Harrow Weald,Greater London,33,14329,high,accept,"high confidence, verified sample and dedication tokens"
St Leonard,Middleton,Greater Manchester,33,16137,high,accept,"high confidence, verified sample and dedication tokens"
St Clement Danes,Westminster,Greater London,33,13512,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin and All Saints,Langdon Hills,Essex,32,10356,high,accept,"high confidence, verified sample and dedication tokens"
The John David Ring,Wellington,New Zealand,32,,none,reject,resolver found no tower
Mindinho-le-Tower,Newmarket,Suffolk,32,,none,reject,resolver found no tower
St Michael and All Angels,Highclere,Hampshire,32,12671,high,accept,"high confidence, verified sample and dedication tokens"
The Bicycle Ring,Cheltenham,Gloucestershire,31,25201,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Burton Latimer,Northamptonshire,31,12365,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Blessed Virgin,Stanwell,Middlesex,30,,none,reject,resolver found no tower
St Mary the Virgin,Disley,Cheshire,30,15142,high,accept,"high confidence, verified sample and dedication tokens"
St Bartholomew,"Birmingham, Edgbaston",West Midlands,30,10824,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Leckhampton,Gloucestershire,30,12596,high,accept,"high confidence, verified sample and dedication tokens"
55 St Martin's Road,Bristol,Bristol,30,,none,reject,resolver found no tower
,"Ringing Room, UK",,30,,none,reject,resolver found no tower
,Chigwell,,30,13109,high,accept,"high confidence, verified sample and dedication tokens"
St James,Accrington,Lancashire,30,10851,high,accept,"high confidence, verified sample and dedication tokens"
St Michael and All Angels,Hughenden,Buckinghamshire,30,15656,high,accept,"high confidence, verified sample and dedication tokens"
,Watford,Herts,30,10317,medium,reject,adjudicated: multi-tower town with no building evidence
,Countesthorpe,,30,10557,high,accept,"high confidence, verified sample and dedication tokens"
St Peter and St Paul,Shelford,Nottinghamshire,29,13962,high,accept,"high confidence, verified sample and dedication tokens"
St Helen,Lundy Island,Bristol Channel,29,,none,reject,resolver found no tower
9 Hawthorn Lane,Wilmslow,Cheshire,29,,none,reject,resolver found no tower
Holy Trinity,Barrow-upon-Humber,Lincolnshire,29,11981,high,accept,"high confidence, verified sample and dedication tokens"
St Luke,Heywood,Lancashire,29,10893,high,accept,"high confidence, verified sample and dedication tokens"
St Martin,Birmingham,,29,14891,high,accept,"high confidence, verified sample and dedication tokens"
St Dunstan,Hunsdon,Hertfordshire,29,17103,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Yatton,Somerset,29,13073,high,accept,"high confidence, verified sample and dedication tokens"
15 Harford Drive,Watford,Hertfordshire,29,,none,reject,resolver found no tower
All Saints,Worcester,Worcestershire,29,11249,high,accept,"high confidence, verified sample and dedication tokens"
Wobbly Bob's Campanile,Bovey Tracey,Devon,29,25196,high,accept,"high confidence, verified sample and dedication tokens"
St Sepulchre,London,EC,29,,none,reject,resolver found no tower
St Andrew the Great,Cambridge,Cambridgeshire,28,15139,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Alwalton,Cambridgeshire,28,12351,high,accept,"high confidence, verified sample and dedication tokens"
Harwill House,Long Clawson,Leicestershire,28,,none,reject,resolver found no tower
All Saints,Stisted,Essex,28,13696,high,accept,"high confidence, verified sample and dedication tokens"
St Paul,Langleybury,Hertfordshire,28,10184,high,accept,"high confidence, verified sample and dedication tokens"
The Wolery,"Old Stoke, Ipswich",Suffolk,28,17735,high,accept,"high confidence, verified sample and dedication tokens"
106 Beaumont Road,Barrow-on-Soar,Leicestershire,28,,none,reject,resolver found no tower
All Saints,North Cerney,Gloucestershire,27,16647,high,accept,"high confidence, verified sample and dedication tokens"
St Swithin,Clunbury,Shropshire,27,15294,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Grundisburgh,Suffolk,27,11974,high,accept,"high confidence, verified sample and dedication tokens"
Holy Nativity,Knowle,Bristol,27,15548,high,accept,"high confidence, verified sample and dedication tokens"
St Bartholomew,Westhoughton,Greater Manchester,27,15011,high,accept,"high confidence, verified sample and dedication tokens"
,Edenham,,27,13380,high,accept,"high confidence, verified sample and dedication tokens"
Windover,Much Birch,Herefordshire,27,22228,medium,reject,adjudicated: building appears to be a house name
,Creswell,,27,15007,medium,reject,adjudicated: multi-tower town with no building evidence
St Lawrence,Towcester,Northamptonshire,27,12719,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Staunton-on-Arrow,Herefordshire,26,13941,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Bucknall,Staffordshire,26,16060,high,accept,"high confidence, verified sample and dedication tokens"
44 Sidney Road,Staines,,26,,none,reject,resolver found no tower
University House,Edgbaston,,26,,none,reject,resolver found no tower
All Saints,Elsham,Lincolnshire,25,11798,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Peterborough,Cambridgeshire,25,16442,high,accept,"high confidence, verified sample and dedication tokens"
26 Thompsons Road,Keresley End,West Midlands,25,,none,reject,resolver found no tower
Cathedral,Bristol,,25,10300,high,accept,"high confidence, verified sample and dedication tokens"
,Calcot,Berks,25,25641,high,accept,"high confidence, verified sample and dedication tokens"
St Christopher's,Ringing Room,,24,,none,reject,resolver found no tower
St Mary the Virgin,Earl Stonham,Suffolk,24,13850,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Edenham,Lincolnshire,24,13380,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Willesden,Greater London,24,14613,high,accept,"high confidence, verified sample and dedication tokens"
St Mary and St Michael,Trumpington,Cambridgeshire,24,10245,high,accept,"high confidence, verified sample and dedication tokens"
SS Helena and Mary,Bourn,Cambridgeshire,24,12090,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Amersham,Buckinghamshire,24,14913,high,accept,"high confidence, verified sample and dedication tokens"
,Ringing Room,Oxfordshire,23,,none,reject,resolver found no tower
Elizabeth college,Guernsey,Channel Islands,23,,none,reject,resolver found no tower
St Katharine,Blackrod,Greater Manchester,23,13099,high,accept,"high confidence, verified sample and dedication tokens"
St James,Norton Canes,Staffordshire,23,12109,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Shepton Beauchamp,Somerset,23,12916,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Bishopstoke,Hampshire,23,11744,high,accept,"high confidence, verified sample and dedication tokens"
Minster Church of All Saints,Rotherham,South Yorkshire,23,11336,high,accept,"high confidence, verified sample and dedication tokens"
St James,Colesbourne,Gloucestershire,22,12354,high,accept,"high confidence, verified sample and dedication tokens"
St Peter's Ringing Chamber,Fairfield,Derbyshire,22,11560,high,accept,"high confidence, verified sample and dedication tokens"
"Colchester, Norwich & Great Hockham",Ringing Room,UK,22,,none,reject,resolver found no tower
All Saints,South Wingfield,Derbyshire,22,12326,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Dover,Kent,22,14019,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral Church of the Holy and Undivided Trinity,Bristol,Bristol,22,10300,high,accept,"high confidence, verified sample and dedication tokens"
,Weedon Bec,,22,10134,high,accept,"high confidence, verified sample and dedication tokens"
,Kingsbury,Warks,22,13225,high,accept,"high confidence, verified sample and dedication tokens"
University House,Edgbaston,West Midlands,22,,none,reject,resolver found no tower
St Mary Magdalene,Chewton Mendip,Somerset,22,15316,high,accept,"high confidence, verified sample and dedication tokens"
"St Edburgha, Yardley",Birmingham,West Midlands,22,14504,high,accept,"high confidence, verified sample and dedication tokens"
St Mary and All Saints,Kirkby Underwood,Lincolnshire,21,10169,high,accept,"high confidence, verified sample and dedication tokens"
,Ringing Room,UK and USA,21,,none,reject,resolver found no tower
The Forewood Ring,Crowhurst,East Sussex,21,25203,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Cottenham,Cambridgeshire,21,14338,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Tarvin,Cheshire,21,15036,high,accept,"high confidence, verified sample and dedication tokens"
St Michael and All Angels,Maidstone,Kent,21,12644,high,accept,"high confidence, verified sample and dedication tokens"
,Bishopstoke,,21,11744,medium,reject,adjudicated: multi-tower town with no building evidence
St Leonard,Middleton,Lancashire,21,16137,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Highweek,Devon,21,11556,high,accept,"high confidence, verified sample and dedication tokens"
,Rothwell,Yorks,21,10886,high,accept,"high confidence, verified sample and dedication tokens"
"St Magnus the Martyr, London Bridge",City of London,,21,13189,high,accept,"high confidence, verified sample and dedication tokens"
16 Blackden Close,Belper,Derbyshire,20,,none,reject,resolver found no tower
68 Rockfield Road,Fairfield,Derbyshire,20,,none,reject,resolver found no tower
,Pettistree,Suffolk,20,13016,high,accept,"high confidence, verified sample and dedication tokens"
St Helen,Etwall,Derbyshire,20,16656,high,accept,"high confidence, verified sample and dedication tokens"
Clock House Bells,Awbridge,Hampshire,20,,none,reject,resolver found no tower
St Mary,Hasfield,Gloucestershire,20,16220,high,accept,"high confidence, verified sample and dedication tokens"
St Mark,Swindon,Wiltshire,20,14500,high,accept,"high confidence, verified sample and dedication tokens"
"1a, Brampton Road",St Albans,Hertfordshire,20,,none,reject,resolver found no tower
St Mark,Exeter,Devon,20,16135,high,accept,"high confidence, verified sample and dedication tokens"
The Wayside,Leicester,Leics,20,,none,reject,resolver found no tower
St Stephen the Martyr,Bristol,Bristol,20,12993,high,accept,"high confidence, verified sample and dedication tokens"
Ladies Who,Ringing Room,,19,,none,reject,resolver found no tower
St Peter and St Paul,Algarkirk,Lincolnshire,19,15381,high,accept,"high confidence, verified sample and dedication tokens"
East Sussex,Ringing Room,,19,,none,reject,resolver found no tower
St Mary the Virgin,Westmill,Hertfordshire,19,10793,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Backwell,Somerset,19,11245,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Overton,Hampshire,19,12543,high,accept,"high confidence, verified sample and dedication tokens"
St Saviour,Pimlico,Greater London,19,14962,high,accept,"high confidence, verified sample and dedication tokens"
,West Bridgford,,19,11771,medium,reject,adjudicated: multi-tower town with no building evidence
,Farnworth-with-Kearsley,,19,,none,reject,resolver found no tower
"St Lawrence, Hull Road",York,,19,16125,high,accept,"high confidence, verified sample and dedication tokens"
St Mark,Worsley,Greater Manchester,19,10612,high,accept,"high confidence, verified sample and dedication tokens"
45 Blanch Croft,Melbourne,Derbyshire,19,,none,reject,resolver found no tower
Town Hall,Manchester,Greater Manchester,19,16363,high,accept,"high confidence, verified sample and dedication tokens"
Hazelton,Guernsey,Channel islands,18,,none,reject,resolver found no tower
Sefton Avenue,York,North Yorkshire,18,,none,reject,resolver found no tower
,Ringing Room,East Sussex,18,,none,reject,resolver found no tower
446 Welford Road,Leicester,Leicestershire,18,,none,reject,resolver found no tower
St Peter,Tewin,Hertfordshire,18,16358,high,accept,"high confidence, verified sample and dedication tokens"
"Vernet-les-Bains, Oldham & Great Hockham",Ringing Room,UK & France,18,,none,reject,resolver found no tower
Mindinho-le-tower,Newmarket,Suffolk,18,,none,reject,resolver found no tower
St Agatha,Portsmouth,Hampshire,18,17042,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas,Norbury,Cheshire,18,11240,high,accept,"high confidence, verified sample and dedication tokens"
,Highclere,,18,12671,medium,reject,adjudicated: multi-tower town with no building evidence
St Luke,Heywood,Greater Manchester,18,10893,high,accept,"high confidence, verified sample and dedication tokens"
St Giles,Stoke Poges,Buckinghamshire,18,11988,high,accept,"high confidence, verified sample and dedication tokens"
,Greasley,,18,15046,high,accept,"high confidence, verified sample and dedication tokens"
,Campsall,,18,17041,high,accept,"high confidence, verified sample and dedication tokens"
,Trumpington,,18,10245,high,accept,"high confidence, verified sample and dedication tokens"
,Helmingham,,18,13545,high,accept,"high confidence, verified sample and dedication tokens"
St Peter and St Paul,Moulton,Northamptonshire,18,13208,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral,Leicester,,18,12250,high,accept,"high confidence, verified sample and dedication tokens"
80 Leconfield Road,Loughborough,Leicestershire,17,,none,reject,resolver found no tower
St John Baptist,Sully,Vale of Glamorgan,17,11445,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas,Woolton Hill,Hampshire,17,14934,high,accept,"high confidence, verified sample and dedication tokens"
St Alkmund,Duffield,Derbyshire,17,11235,high,accept,"high confidence, verified sample and dedication tokens"
"5, Moat Close",Bushey,Hertfordshire,17,,none,reject,resolver found no tower
Windermere,Stretton Sugwas,Herefordshire,17,23875,medium,reject,adjudicated: building appears to be a house name
"Thorrington, Wickford, Great Hockham",Ringing Room,UK,17,,none,reject,resolver found no tower
St John the Baptist,Windsor,Berkshire,17,15169,high,accept,"high confidence, verified sample and dedication tokens"
Highbury St (Dumbbell),Peterborough,City of Peterborough,17,,none,reject,resolver found no tower
Swaledale,Holme Lacy,Herefordshire,17,,none,reject,resolver found no tower
Christ Church,Dore,South Yorkshire,17,15539,high,accept,"high confidence, verified sample and dedication tokens"
,East Ilsley,,17,10316,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Rotherham,,17,11336,high,accept,"high confidence, verified sample and dedication tokens"
Parish and Civic Church of St Mary-le-Wigford,Lincoln,Lincolnshire,16,13659,high,accept,"high confidence, verified sample and dedication tokens"
,Marston-on-Dove,,16,16800,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Longparish,Hampshire,16,12538,high,accept,"high confidence, verified sample and dedication tokens"
St Giles,South Mymms,Hertfordshire,16,14256,high,accept,"high confidence, verified sample and dedication tokens"
Priory Church of St Peter,Dunstable,Bedfordshire,16,15318,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Rushden,Northamptonshire,16,10504,high,accept,"high confidence, verified sample and dedication tokens"
,Dore,,16,15539,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Wellesbourne,Warwickshire,16,11177,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Mavesyn Ridware,Staffordshire,16,15216,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Nottingham,,16,16058,high,accept,"high confidence, verified sample and dedication tokens"
"Harrison Building, Exeter University",Exeter,Devon,16,,none,reject,resolver found no tower
Bellfoundry Tower,Loughborough,Leicestershire,16,10191,high,accept,"high confidence, verified sample and dedication tokens"
Bishop Ryder,Birmingham,,16,,none,reject,resolver found no tower
Holy Cross,Daventry,Northamptonshire,16,14260,high,accept,"high confidence, verified sample and dedication tokens"
"St Mary, Upton cum Chalvey",Slough,Berkshire,16,15564,high,accept,"high confidence, verified sample and dedication tokens"
SS Peter and Paul,Moulton,Northamptonshire,16,13208,high,accept,"high confidence, verified sample and dedication tokens"
,Drayton Bassett,,15,16528,high,accept,"high confidence, verified sample and dedication tokens"
St Helen,Great Oxendon,Northamptonshire,15,16491,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Ashley,Northamptonshire,15,12989,high,accept,"high confidence, verified sample and dedication tokens"
