building,town,county,occurrences,candidate_tower_id,candidate_confidence,decision,decision_reason
St Margaret,Long Riston,East Riding of Yorkshire,1,13408,high,accept,"high confidence, verified sample and dedication tokens"
Wimberry Apartments,Sheffield,South Yorkshire,1,,none,reject,resolver found no tower
St Mary,Sevington,Kent,1,10044,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas a Becket,Fairfield,Kent,1,16768,high,accept,"high confidence, verified sample and dedication tokens"
,"Lickey church , holy trinity",Worcestershire,1,,none,reject,resolver found no tower
St Michael's Churchyard,Rushock,Worcestershire,1,23121,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Vergers Lodge Alcester front room,Warwickshire,1,,none,reject,resolver found no tower
St Martin,Welton le Wold,Lincolnshire,1,10470,high,accept,"high confidence, verified sample and dedication tokens"
,Kinwarton Dovecote,Warwickshire,1,21346,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Broughton,North Yorkshire,1,11473,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Lowesby,Leicestershire,1,13636,high,accept,"high confidence, verified sample and dedication tokens"
,"The Old Bakehouse, Ashton under Hill",Worcestershire,1,10526,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Didcot,Oxfordshire,1,17010,high,accept,"high confidence, verified sample and dedication tokens"
,Cofton Hackett St Michael's churchyard,Worcestershire,1,19278,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Great Oakley,Northamptonshire,1,12475,high,accept,"high confidence, verified sample and dedication tokens"
St Oswald,Grasmere,Cumbria,1,16299,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Aldworth,Berkshire,1,11600,high,accept,"high confidence, verified sample and dedication tokens"
,Hopton castle,,1,21012,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Farmington,Gloucestershire,1,13213,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Vergers Lodge Alcester,Warwickshire,1,,none,reject,resolver found no tower
,Gumley,,1,12591,high,accept,"high confidence, verified sample and dedication tokens"
,"Tracey's Art Studio, Catshill",Worcestershire,1,17183,high,accept,"high confidence, verified sample and dedication tokens"
St Michael and St Martin,Eastleach Martin,Gloucestershire,1,10832,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Vergers Lodge,Warwickshire,1,,none,reject,resolver found no tower
St John the Baptist,Tunstall,Lancashire,1,14672,high,accept,"high confidence, verified sample and dedication tokens"
,Vegetable patch Catshill garden,Worcestershire,1,,none,reject,resolver found no tower
,"Wychbury obelisk, Hagley",Worcestershire,1,13672,high,accept,"high confidence, verified sample and dedication tokens"
,Catshill country garden,Worcestershire,1,17183,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Swayfield,Lincolnshire,1,13435,high,accept,"high confidence, verified sample and dedication tokens"
,"The Rookery Alcester, living room",Warwickshire,1,,none,reject,resolver found no tower
,The deck of ' The minds eye ',"Catshill ,Worcestershire",1,,none,reject,resolver found no tower
St Nicholas,Compton,Surrey,1,10309,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Monkton Farleigh,Wiltshire,1,13881,high,accept,"high confidence, verified sample and dedication tokens"
,Hanbury woods,Worcestershire,1,15060,high,accept,"high confidence, verified sample and dedication tokens"
,"Catshill ,Bromsgrove",Worcestershire,1,10080,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Elsworth,Cambridgeshire,1,13909,high,accept,"high confidence, verified sample and dedication tokens"
St Bartholomew,Chalvington,East Sussex,1,15885,high,accept,"high confidence, verified sample and dedication tokens"
St James,Waresley,Cambridgeshire,1,11423,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Aston Cantlow memorial garden,Warwickshire,1,,none,reject,resolver found no tower
St Nicholas,"Vergers Lodge Alcester, front room",Warwickshire,1,,none,reject,resolver found no tower
,"Vergers lodge, Alcester",Warwickshire,1,12246,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Ledsham,West Yorkshire,1,10220,high,accept,"high confidence, verified sample and dedication tokens"
St Michael and All Angels,Ravenstone,Leicestershire,1,13799,high,accept,"high confidence, verified sample and dedication tokens"
St Remigius,Water Newton,Cambridgeshire,1,15487,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Nether Broughton,Leicestershire,1,13786,high,accept,"high confidence, verified sample and dedication tokens"
St Margaret,Fernhurst,West Sussex,1,11575,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,West Tytherley,Hampshire,1,10070,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Goodmanham,East Riding of Yorkshire,1,15213,high,accept,"high confidence, verified sample and dedication tokens"
Holy Cross,Bury,Cambridgeshire,1,16571,high,accept,"high confidence, verified sample and dedication tokens"
St Katherine,Netherhampton,Wiltshire,1,10921,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas a Becket,Lovington,Somerset,1,10570,high,accept,"high confidence, verified sample and dedication tokens"
Blessed Virgin Mary,Yarlington,Somerset,1,11190,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,South Barrow,Somerset,1,15573,high,accept,"high confidence, verified sample and dedication tokens"
,Mynedd Mechell,Anglesey,1,,none,reject,resolver found no tower
,Parys Mountain Copper mine,Anglesey,1,,none,reject,resolver found no tower
St Mary,North Somercotes,Lincolnshire,1,16402,high,accept,"high confidence, verified sample and dedication tokens"
,"The Rookery, Alcester",Warwickshire,1,12246,high,accept,"high confidence, verified sample and dedication tokens"
,Pontysyllte Aquaduct,,1,,none,reject,resolver found no tower
Estate Church of St Oswald's,Blankney,Lincolnshire,1,12203,high,accept,"high confidence, verified sample and dedication tokens"
St Martin,Hayton,East Riding of Yorkshire,1,14369,high,accept,"high confidence, verified sample and dedication tokens"
St Clement,Grainthorpe,Lincolnshire,1,13588,high,accept,"high confidence, verified sample and dedication tokens"
,Beaumaris sea front,Anglesey,1,,none,reject,resolver found no tower
All Saints,Langton Long Blandford,Dorset,1,15188,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Wilsford,Lincolnshire,1,17057,high,accept,"high confidence, verified sample and dedication tokens"
,"Penllidiart, Mynydd mechell",Anglesey,1,,none,reject,resolver found no tower
St Peter,Shepton Montague,Somerset,1,12214,high,accept,"high confidence, verified sample and dedication tokens"
Cornhill Close,Duffield,Derbyshire,1,,none,reject,resolver found no tower
,"Catshill, the patio garden",Worcestershire,1,17183,high,accept,"high confidence, verified sample and dedication tokens"
St Philippe de Torteval,Torteval,Guernsey,1,11796,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Middleton,Warwickshire,1,15719,high,accept,"high confidence, verified sample and dedication tokens"
,Ringing Room,,1,,none,reject,resolver found no tower
,Catshill Bromsgrove,,1,17183,high,accept,"high confidence, verified sample and dedication tokens"
,Catshill lighthouse!,Warwickshire,1,,none,reject,resolver found no tower
Brambles Villa East,Lundy Island,Devon,1,11248,medium,reject,adjudicated: named private ring or non-church venue
St Giles,Lockton,North Yorkshire,1,21737,high,accept,"high confidence, verified sample and dedication tokens"
Kinver,Ringing Room,,1,,none,reject,resolver found no tower
All Saints,Preston,Gloucestershire,1,12775,high,accept,"high confidence, verified sample and dedication tokens"
St Swithun,Woodborough,Nottinghamshire,1,12096,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Coity,Mid Glamorgan,1,13249,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Withycombe,Somerset,1,15088,high,accept,"high confidence, verified sample and dedication tokens"
,Alkham,,1,16602,high,accept,"high confidence, verified sample and dedication tokens"
,"Hayes, The Study, Everard Avenue",Kent,1,,none,reject,resolver found no tower
,Stoke Orchard (Bellflowermews),Gloucestershire,1,,none,reject,resolver found no tower
,Carlton,Beds,1,15609,high,accept,"high confidence, verified sample and dedication tokens"
,Ampton,Suffolk,1,16426,high,accept,"high confidence, verified sample and dedication tokens"
814 Filton Avenue,Filton,Gloucestershire,1,,none,reject,resolver found no tower
15 Preston Park,Faversham,Kent,1,,none,reject,resolver found no tower
St David,Llanarthne,Carmarthenshire,1,10235,high,accept,"high confidence, verified sample and dedication tokens"
Town Church,Guernsey,Channel Islands,1,,none,reject,resolver found no tower
St Mary,Chediston,Suffolk,1,12872,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Ringsfield,Suffolk,1,14026,high,accept,"high confidence, verified sample and dedication tokens"
"St Judes, Ringing Chamber",Randwick,"New South Wales, Australia",1,15415,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Parramatta,"New South Wales, Australia",1,15020,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,North Aston,Oxfordshire,1,11673,high,accept,"high confidence, verified sample and dedication tokens"
,Addington,Kent,1,16347,high,accept,"high confidence, verified sample and dedication tokens"
,Ringing Room,Corston,1,,none,reject,resolver found no tower
,Yapton,,1,11297,high,accept,"high confidence, verified sample and dedication tokens"
St Laurence,Lighthorne,Warwickshire,1,12108,high,accept,"high confidence, verified sample and dedication tokens"
St Margaret,Margaret Marsh,Dorset,1,17127,high,accept,"high confidence, verified sample and dedication tokens"
St Richard,Aldwick,West Sussex,1,15116,high,accept,"high confidence, verified sample and dedication tokens"
8 Derry Park,Minety,Wiltshire,1,,none,reject,resolver found no tower
,Spofforth,,1,11284,high,accept,"high confidence, verified sample and dedication tokens"
,Barbon,,1,12443,high,accept,"high confidence, verified sample and dedication tokens"
Rose Cottage,West Raddon,Devon,1,,none,reject,resolver found no tower
"38 Cusworth House, Doncaster",Doncaster,South Yorkshire,1,,none,reject,resolver found no tower
,Trotton,,1,15306,high,accept,"high confidence, verified sample and dedication tokens"
,Graffham,,1,15265,high,accept,"high confidence, verified sample and dedication tokens"
St Peter and St Paul,Ospringe Ringing Chamber,Kent,1,16263,high,accept,"high confidence, verified sample and dedication tokens"
,Sparsholt,,1,14627,medium,reject,adjudicated: multi-tower town with no building evidence
St Peter,Sibthorpe,Nottinghamshire,1,14717,high,accept,"high confidence, verified sample and dedication tokens"
94 Cotham Brow Garden,Bristol,Bristol,1,,none,reject,resolver found no tower
St George,Stowlangtoft,Suffolk,1,15053,high,accept,"high confidence, verified sample and dedication tokens"
St John-the-Baptist,Newtown,Hampshire,1,14600,medium,accept,"medium, building shares dedication evidence"
'Halcyon',Evercreech,Somerset,1,14423,medium,reject,adjudicated: building appears to be a house name
"School Chapel Arts Centre, Cann",Shaftesbury,Dorset,1,15589,high,accept,"high confidence, verified sample and dedication tokens"
St Michael and All Angels,Halton,Buckinghamshire,1,10277,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Cheldon,Devon,1,10599,high,accept,"high confidence, verified sample and dedication tokens"
Elizabeth college,Guernsey,Channel islands,1,,none,reject,resolver found no tower
St George,George Nympton,Devon,1,11187,high,accept,"high confidence, verified sample and dedication tokens"
Quay visitors car park,Poole,Dorset,1,,none,reject,resolver found no tower
St George,Orcheston,Wiltshire,1,12440,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Takeley,Essex,1,16989,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Winterborne Zelston,Dorset,1,16289,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Buscot,Oxfordshire,1,12654,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Buscot,Oxfordshire,1,12654,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Slindon,West Sussex,1,11543,high,accept,"high confidence, verified sample and dedication tokens"
St Catherine,Draughton,Northamptonshire,1,12586,high,accept,"high confidence, verified sample and dedication tokens"
St James the Apostle,Bondleigh,Devon,1,13502,high,accept,"high confidence, verified sample and dedication tokens"
4 St Denys Close,Stanford in the Vale,Oxfordshire,1,,none,reject,resolver found no tower
,Kilsby,,1,16154,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Lutton,Lincolnshire,1,13833,high,accept,"high confidence, verified sample and dedication tokens"
,Cold Ashby,,1,11572,high,accept,"high confidence, verified sample and dedication tokens"
Balgonie Rd,Chingford,Greater London,1,,none,reject,resolver found no tower
Brittany Ferries Islander (outside deck),English Channel,,1,,none,reject,resolver found no tower
Vale Church,Guernsey,Channel Islands,1,,none,reject,resolver found no tower
,Thorpe Achurch,,1,11215,high,accept,"high confidence, verified sample and dedication tokens"
"NB Thistle, Bancroft Basin",Stratford Upon Avon,Warwickshire,1,,none,reject,resolver found no tower
"NB Thistle, Docks Barge Arm",Gloucester,Gloucestershire,1,,none,reject,resolver found no tower
74100 Platanes,Rethymno,Greece,1,,none,reject,resolver found no tower
"City Wall, by North Eastern Railways War Memorial",York,North Yorkshire,1,,none,reject,resolver found no tower
St Anthony,Alkham,Kent,1,16602,high,accept,"high confidence, verified sample and dedication tokens"
,Winterbourne Zelston,,1,,none,reject,resolver found no tower
All Saints,Winwick,Cambridgeshire,1,15407,high,accept,"high confidence, verified sample and dedication tokens"
,Landgon Hills,,1,,none,reject,resolver found no tower
Ambridge,Guernsey,CI,1,,none,reject,resolver found no tower
The Tree of Achilleos,Chingford (Pole Hill),Greater London,1,,none,reject,resolver found no tower
St John the Baptist,Wistow,Cambridgeshire,1,10391,high,accept,"high confidence, verified sample and dedication tokens"
Brittany Ferries Islander,Portsmouth,Hampshire,1,,none,reject,resolver found no tower
Beagle Channel,On board the MS Roald Amundsen,Argentina,1,,none,reject,resolver found no tower
7 Bradley Drive,Tunstall,Kent,1,,none,reject,resolver found no tower
1st Solihull Scout Hut,Solihull,West Midlands,1,,none,reject,resolver found no tower
St John the Baptist,Achurch,Northamptonshire,1,11215,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Hargrave,Northamptonshire,1,15554,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Church Brough,Cumbria,1,12920,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Allexton,Leicestershire,1,11242,high,accept,"high confidence, verified sample and dedication tokens"
Parish and Civic Church of St Mary-Le-Wigford,Lincoln,Lincolnshire,1,13659,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Old Dalby,Leicestershire,1,11760,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas a Becket,Tugby,Leicestershire,1,10604,high,accept,"high confidence, verified sample and dedication tokens"
St Swithin,Bicker,Lincolnshire,1,15363,high,accept,"high confidence, verified sample and dedication tokens"
St James the Great,Melsonby,North Yorkshire,1,11174,high,accept,"high confidence, verified sample and dedication tokens"
St Mary and Holy Rood,Donington,Lincolnshire,1,14561,high,accept,"high confidence, verified sample and dedication tokens"
Millcombe House,Lundy Island,Devon,1,,none,reject,resolver found no tower
St Faith,Kilsby,Northamptonshire,1,16154,high,accept,"high confidence, verified sample and dedication tokens"
St David and St Cyfelach,Llangyfelach,Swansea,1,16766,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Conington,Cambridgeshire,1,12209,high,accept,"high confidence, verified sample and dedication tokens"
,Holmbury St Mary Youth Hostel,Surrey,1,20958,high,accept,"high confidence, verified sample and dedication tokens"
76 Rectory Road,Ipswich,Suffolk,1,,none,reject,resolver found no tower
Chestnut Avenue,Chandler's Ford,Hampshire,1,,none,reject,resolver found no tower
St Mark,Brighton,Sussex,1,16546,high,accept,"high confidence, verified sample and dedication tokens"
The Spire,Ufton Nervet,Berkshire,1,14700,high,accept,"high confidence, verified sample and dedication tokens"
St Alphege churchyard,Solihull,W Midlands,1,,none,reject,resolver found no tower
Hereward Rise,Halesowen,West Midlands,1,16876,medium,reject,adjudicated: building appears to be a house name
NB Thistle,Lapworth,Warwickshire,1,,none,reject,resolver found no tower
"In a tree, by the gate of Wootton Wawen Primary School",Wootton Wawen,Warwickshire,1,10550,medium,reject,adjudicated: named private ring or non-church venue
Station Buildings,Ludlow,Shropshire,1,,none,reject,resolver found no tower
,Purleigh,,1,16474,high,accept,"high confidence, verified sample and dedication tokens"
St Paul,Broadwell,Gloucestershire,1,10795,high,accept,"high confidence, verified sample and dedication tokens"
St Benedict,Candlesby,Lincolnshire,1,16669,high,accept,"high confidence, verified sample and dedication tokens"
St James,Arlington,Devon,1,12237,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas and St John the Baptist,Shepperton,Middlesex,1,,none,reject,resolver found no tower
Christ Church (Nave),Fairwarp,East Sussex,1,16191,high,accept,"high confidence, verified sample and dedication tokens"
17 Bateman Street,Cambridge,Cambridgeshire,1,,none,reject,resolver found no tower
,"Christ Church Cathedral, Dublin, Ireland",,1,,none,reject,resolver found no tower
Christ Church Cathedral,Dublin,Dublin,1,15915,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Blo' Norton,Norfolk,1,10685,high,accept,"high confidence, verified sample and dedication tokens"
,Solihull,Warwickshire,1,11354,high,accept,"high confidence, verified sample and dedication tokens"
"Malvern Villas, New Road",Solihull,Warwickshire,1,,none,reject,resolver found no tower
,Bicester,Oxon,1,11528,high,accept,"high confidence, verified sample and dedication tokens"
St Dunstan,Canterbury,Kent,1,10102,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Riseley,Bedfordshire,1,16215,high,accept,"high confidence, verified sample and dedication tokens"
,Sulgrave,,1,15537,high,accept,"high confidence, verified sample and dedication tokens"
Village Green,Fairwarp,East Sussex,1,16191,medium,reject,adjudicated: named private ring or non-church venue
All Saints,Heath,Derbyshire,1,13611,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Stourpaine,Dorset,1,16820,high,accept,"high confidence, verified sample and dedication tokens"
All Hallows,Tillington,West Sussex,1,12892,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Ripe,East Sussex,1,13971,high,accept,"high confidence, verified sample and dedication tokens"
,,Oxon,1,,none,reject,resolver found no tower
Holy Rood,Ampney Crucis,Gloucestershire,1,11001,high,accept,"high confidence, verified sample and dedication tokens"
"Flat 2, 22 Carpenter Road",Edgbaston,West Midlands,1,,none,reject,resolver found no tower
St Nicholas,Bishops Sutton,Hampshire,1,,none,reject,resolver found no tower
27 Shackleton Close,Market Deeping,Lincolnshire,1,,none,reject,resolver found no tower
St Bartholomew,Ducklington,Oxfordshire,1,13577,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Bronllys,Powys,1,11553,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Edgeworth,Gloucestershire,1,12295,high,accept,"high confidence, verified sample and dedication tokens"
St Cuthbert,Doveridge,Derbyshire,1,16095,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Hunston,Suffolk,1,12206,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Old Chesterton,Cambridgeshire,1,,none,reject,resolver found no tower
221 Portreath Drive,Allestree,Derbyshire,1,,none,reject,resolver found no tower
St Mary,Huntingfield,Suffolk,1,10796,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Willey,Shropshire,1,13436,high,accept,"high confidence, verified sample and dedication tokens"
St Peter and St Paul,Hambledon,Hampshire,1,15195,high,accept,"high confidence, verified sample and dedication tokens"
,Acton,Suffolk,1,11817,high,accept,"high confidence, verified sample and dedication tokens"
Elizabeth College,Guernsey,CI,1,,none,reject,resolver found no tower
St Mary Magdalene,South Marston,Wiltshire,1,12116,high,accept,"high confidence, verified sample and dedication tokens"
,Brampford Speke,,1,16477,high,accept,"high confidence, verified sample and dedication tokens"
Baptist Church,Tottlebank,Lancs,1,,none,reject,resolver found no tower
,Little Houghton,,1,12180,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Silchester,Hampshire,1,11482,high,accept,"high confidence, verified sample and dedication tokens"
,Accrington,Lancashire,1,10851,medium,reject,adjudicated: multi-tower town with no building evidence
38 Heath Park Road,Buxton,Derbyshire,1,,none,reject,resolver found no tower
,Hatherop,,1,13680,high,accept,"high confidence, verified sample and dedication tokens"
St Denys,Eaton,Leicestershire,1,14224,high,accept,"high confidence, verified sample and dedication tokens"
"Whingarth, Ridge Road",Marple,Cheshire,1,,none,reject,resolver found no tower
,Warmley,,1,12727,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Loxton,Somerset,1,15864,high,accept,"high confidence, verified sample and dedication tokens"
The Residence of Mr F Lambert,Halesworth,Suffolk,1,10096,medium,reject,adjudicated: named private ring or non-church venue
7 Waterside,Marple,Cheshire,1,,none,reject,resolver found no tower
All Saints,Great Barford,Bedfordshire,1,16610,high,accept,"high confidence, verified sample and dedication tokens"
St Bartholomew,Church Minshull,Cheshire,1,13761,high,accept,"high confidence, verified sample and dedication tokens"
"St Peter, Twineham",Ringing Room,,1,,none,reject,resolver found no tower
Thursday Doubles Club,Ringing Room,,1,,none,reject,resolver found no tower
St Peter,Copdock,Suffolk,1,16654,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Bramfield,Suffolk,1,15164,high,accept,"high confidence, verified sample and dedication tokens"
Wyggeston Grammar School for Boys,Leicester,Leics,1,,none,reject,resolver found no tower
Polmear Lodge,Guernsey,CI,1,,none,reject,resolver found no tower
All Saints,Farnborough,Berkshire,1,10629,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Winterton,Lincolnshire,1,10848,high,accept,"high confidence, verified sample and dedication tokens"
St Catherine,Ludham,Norfolk,1,15469,high,accept,"high confidence, verified sample and dedication tokens"
St Laurence and All Saints,Eastwood,Essex,1,16429,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Coddington,Herefordshire,1,10925,high,accept,"high confidence, verified sample and dedication tokens"
St Bartholomew,Thurstaston,Merseyside,1,11603,high,accept,"high confidence, verified sample and dedication tokens"
,Skillington,,1,13675,high,accept,"high confidence, verified sample and dedication tokens"
St Piran,Perranarworthal,Cornwall,1,14036,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Merriott,Somerset,1,13036,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Wetheringsett,Suffolk,1,15546,high,accept,"high confidence, verified sample and dedication tokens"
SS Peter and Mary (Ringing Chamber),Stowmarket,Suffolk,1,10131,medium,accept,"sole tower in town, building is ecclesiastical"
,Cotterstock,,1,12936,high,accept,"high confidence, verified sample and dedication tokens"
227 Greenhill Road,Adelaide,South Australia,1,,none,reject,resolver found no tower
"St Andrew's, Ringing Chamber.","Walkerville, Adelaide",South Australia,1,17138,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Stockbridge,Hampshire,1,16227,high,accept,"high confidence, verified sample and dedication tokens"
St Margaret,Lewknor,Oxfordshire,1,11230,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Abbotts Ann,Hampshire,1,15904,high,accept,"high confidence, verified sample and dedication tokens"
,Little Glemham,,1,14569,high,accept,"high confidence, verified sample and dedication tokens"
,Leck,,1,16898,high,accept,"high confidence, verified sample and dedication tokens"
St Bartholomew,Oake,Somerset,1,12698,high,accept,"high confidence, verified sample and dedication tokens"
Arborfield,Little Aston,Warks,1,,none,reject,resolver found no tower
School House,Burbage,Derbyshire,1,,none,reject,resolver found no tower
All Saints,Hordle,Hampshire,1,14809,high,accept,"high confidence, verified sample and dedication tokens"
St Bega,Bassenthwaite,Cumberland,1,18168,high,accept,"high confidence, verified sample and dedication tokens"
,Earl Stonham,,1,13850,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Great Bedwyn,Wiltshire,1,13806,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Heckfield,Hampshire,1,14134,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Chilton,Oxfordshire,1,10648,high,accept,"high confidence, verified sample and dedication tokens"
The Plantagenet Ring,Church Lawford,Warwicks,1,12558,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Turville,Buckinghamshire,1,15373,high,accept,"high confidence, verified sample and dedication tokens"
All saints,Wilbarston,Northamptonshire,1,13270,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Stanford on Avon,Northamptonshire,1,14768,high,accept,"high confidence, verified sample and dedication tokens"
St John Baptist,South Collingham,Nottinghamshire,1,11916,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Bulwick,Northamptonshire,1,11146,high,accept,"high confidence, verified sample and dedication tokens"
St Mary V,Stevington,Bedfordshire,1,14643,high,accept,"high confidence, verified sample and dedication tokens"
SS Peter and Paul,Courteenhall,Northamptonshire,1,14320,high,accept,"high confidence, verified sample and dedication tokens"
St John Baptist,Boughton,Northamptonshire,1,11973,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Naseby,Northamptonshire,1,10666,high,accept,"high confidence, verified sample and dedication tokens"
St Michael and All Angels,Marden,Kent,1,16564,high,accept,"high confidence, verified sample and dedication tokens"
Dedication Unknown,Corley,Warwickshire,1,16606,high,accept,"high confidence, verified sample and dedication tokens"
SS Peter and Paul,Easton Maudit,Northamptonshire,1,11975,high,accept,"high confidence, verified sample and dedication tokens"
,Arnold,Nottinghamshire,1,17152,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral Church of St Peter the Apostle,Hamilton,New Zealand,1,13098,high,accept,"high confidence, verified sample and dedication tokens"
The Kowhai Mini Ring,Oamaru,New Zealand,1,,none,reject,resolver found no tower
St Peter,Ketteringham,Norfolk,1,13687,high,accept,"high confidence, verified sample and dedication tokens"
St Martin,Welton,Northamptonshire,1,11036,high,accept,"high confidence, verified sample and dedication tokens"
Parish Church,Lytchett Minster,Dorset,1,15544,medium,accept,"sole tower in town, building is ecclesiastical"
Christ Church,Colliers Wood,Greater London,1,13606,high,accept,"high confidence, verified sample and dedication tokens"
,Carhampton,Somerset,1,14980,high,accept,"high confidence, verified sample and dedication tokens"
St John the Evangelist,Brigg,Lincolnshire,1,13867,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Chilham,Kent,1,12618,high,accept,"high confidence, verified sample and dedication tokens"
St Faith,Berrow,Worcestershire,1,14786,high,accept,"high confidence, verified sample and dedication tokens"
St Mary Magdalene,Eardisley,Sir Gaerfyrddin,1,,none,reject,resolver found no tower
All Saints,Husbands Bosworth,Leicestershire,1,10190,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Theddingworth,Leicestershire,1,13683,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Lubenham,Leicestershire,1,16085,high,accept,"high confidence, verified sample and dedication tokens"
St John Baptist,Great Carlton,Lincolnshire,1,14583,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Great Shefford,Berkshire,1,14533,high,accept,"high confidence, verified sample and dedication tokens"
St Peter and St Paul,Caistor,Lincolnshire,1,13804,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Crimplesham,Norfolk,1,14792,high,accept,"high confidence, verified sample and dedication tokens"
SS Mary and Milburgh,Offenham,Worcestershire,1,16128,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,North Cave,East Yorkshire,1,,none,reject,resolver found no tower
Spurriergate Centre,York,,1,10509,high,accept,"high confidence, verified sample and dedication tokens"
St Botolph without Aldgate,City of London,,1,12429,high,accept,"high confidence, verified sample and dedication tokens"
St Lawrence,Alton,Hants,1,11925,high,accept,"high confidence, verified sample and dedication tokens"
,"Trowbridge (various, Ding)",Wiltshire,1,,none,reject,resolver found no tower
,Ringing Room,South Manchester,1,,none,reject,resolver found no tower
St Luke,Stoke Prior,Herefordshire,1,11161,high,accept,"high confidence, verified sample and dedication tokens"
St Luke,Hickling,Nottinghamshire,1,13620,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Shenington,Oxfordshire,1,14877,high,accept,"high confidence, verified sample and dedication tokens"
St Peter-ad-Vincula,South Newington,Oxfordshire,1,12604,high,accept,"high confidence, verified sample and dedication tokens"
,Merton,Surrey,1,,none,reject,resolver found no tower
All Saints,Barnby in the Willows,Nottinghamshire,1,14951,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist Churchyard,Ripe,East Sussex,1,13971,high,accept,"high confidence, verified sample and dedication tokens"
18 Westwood Road,Southampton,Hampshire,1,,none,reject,resolver found no tower
