child_method_id,child_title,child_stage,parent_method_id,parent_title,parent_stage,family_name,relationship,confidence,evidence
m10293,Bistow Little Bob Caters,9,m10577,Bistow Little Bob Doubles,5,Bistow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m10293,Bistow Little Bob Caters,9,m12408,Bistow Little Bob Triples,7,Bistow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m31591,Bitteswell Surprise Maximus,12,m16399,Bitteswell Surprise Major,8,Bitteswell,extension,high,"Preserved front work (62%), valid lead progression (32->48), matching Surprise"
m21374,Blaby Surprise Royal,10,m10917,Blaby Bob Doubles,5,Blaby,name_only,high,Different classifications (Bob vs Surprise)
m32030,Black Cygnet Bob Major,8,m29578,Black Cygnet Bob Minor,6,Black Cygnet,variant,medium,"Partial structural overlap (42% front work), altered lead progression"
m36567,Blackadder Treble Place Royal,10,m28265,Blackadder Alliance Triples,7,Blackadder,name_only,high,Different classifications (Alliance vs Treble Place)
m29901,Blackbird Alliance Major,8,m12389,Blackbird Bob Triples,7,Blackbird,name_only,high,Different classifications (Bob vs Alliance)
m30111,Blackbird Surprise Major,8,m12389,Blackbird Bob Triples,7,Blackbird,name_only,high,Different classifications (Bob vs Surprise)
m16021,Blackburn Surprise Major,8,m10508,Blackburn Place Doubles,5,Blackburn,name_only,high,Different classifications (Place vs Surprise)
m25467,Blackburn Delight Major,8,m10508,Blackburn Place Doubles,5,Blackburn,name_only,high,Different classifications (Place vs Delight)
m21159,Blackburn Surprise Royal,10,m10508,Blackburn Place Doubles,5,Blackburn,name_only,high,Different classifications (Place vs Surprise)
m21159,Blackburn Surprise Royal,10,m16021,Blackburn Surprise Major,8,Blackburn,extension,high,"Preserved front work (84%), valid lead progression (32->40), matching Surprise"
m21159,Blackburn Surprise Royal,10,m25467,Blackburn Delight Major,8,Blackburn,variant,medium,"Partial structural overlap (44% front work), altered lead progression"
m24579,Blackdown Delight Major,8,m27178,Blackdown Treble Place Doubles,5,Blackdown,name_only,high,Different classifications (Treble Place vs Delight)
m34477,Blackdown Surprise Major,8,m27178,Blackdown Treble Place Doubles,5,Blackdown,name_only,high,Different classifications (Treble Place vs Surprise)
m17837,Blackhorse Road Surprise Major,8,m12166,Blackhorse Road Bob Minor,6,Blackhorse Road,name_only,high,Different classifications (Bob vs Surprise)
m13990,Blackley Bob Royal,10,m12886,Blackley Bob Major,8,Blackley,extension,high,"Preserved front work (62%), valid lead progression (16->20), matching Bob"
m14107,Blackley Bob Cinques,11,m12886,Blackley Bob Major,8,Blackley,name_only,high,Incompatible hunt count (1 vs 2)
m22894,Blackley Surprise Maximus,12,m12886,Blackley Bob Major,8,Blackley,name_only,high,Different classifications (Bob vs Surprise)
m14107,Blackley Bob Cinques,11,m13990,Blackley Bob Royal,10,Blackley,name_only,high,Dissimilar notation (0% front work) despite shared name
