domain,raw_term,canonical_term,category,evidence_count,source_examples,notes
dedication,S Bridget,Saint Bridget,abbreviation_expansion,25,Dove: Brean; Dove: Bridekirk,S -> Saint
dedication,S Christopher,Saint Christopher,abbreviation_expansion,25,Dove: Cheltenham; Dove: Lympsham,S -> Saint
dedication,S Edmund K&M,Saint Edmund King and Martyr,abbreviation_expansion,25,Dove: Abbess Roding; Dove: Allestree,Qualifier expanded: \bK&M\b -> King and Martyr; S -> Saint
dedication,S Patrick,Saint Patrick,abbreviation_expansion,25,Dove: Ballymena; Dove: Bampton,S -> Saint
dedication,St John,Saint John,abbreviation_expansion,25,Dove: TowerID 11613; Dove: TowerID 15052,St -> Saint
dedication,S James Ap,Saint James Ap,abbreviation_expansion,24,Dove: Birstwith; Dove: Bondleigh,S -> Saint
dedication,S Martin of Tours,Saint Martin of Tours,abbreviation_expansion,24,Dove: Basildon; Dove: Chelsfield,S -> Saint
dedication,Chapel,Chapel,verbatim,23,Dove: Brockhampton; Dove: Hartham Park,Standard dedication
dedication,S Peter ad Vincula,Saint Peter ad Vincula,abbreviation_expansion,23,Dove: Ashwater; Dove: Broad Hinton,S -> Saint
dedication,St Helen,Saint Helen,abbreviation_expansion,23,MP: Gumley; MP: Kneeton,St -> Saint
dedication,St Thomas,Saint Thomas,abbreviation_expansion,23,MP: Woolton Hill; MP: Neath,St -> Saint
dedication,Town Hall,Town Hall,verbatim,23,Dove: Adelaide; Dove: Ballarat,Standard dedication
dedication,Good Shepherd,Good Shepherd,verbatim,22,Towers: Bamfurlong; Towers: Bishopston,Standard dedication
dedication,Holy Innocents,Holy Innocents,verbatim,22,Dove: Adisham; Dove: Fallowfield,Standard dedication
dedication,S Thomas Ap,Saint Thomas Ap,abbreviation_expansion,22,Dove: Exeter; Dove: Heptonstall,S -> Saint
dedication,The Good Shepherd,The Good Shepherd,verbatim,22,Dove: Augusta; Dove: Brighton,Standard dedication
dedication,S Gabriel,Saint Gabriel,abbreviation_expansion,21,Dove: Hanley Swan; Dove: Pimlico,S -> Saint
dedication,S Jude,Saint Jude,abbreviation_expansion,21,Dove: Blackburn; Dove: Randwick,S -> Saint
dedication,S Edward,Saint Edward,abbreviation_expansion,20,Dove: Eggbuckland; Dove: Evenlode,S -> Saint
dedication,All Souls,All Souls,verbatim,19,Dove: Bolton; Dove: Halifax,Standard dedication
dedication,S Benedict,Saint Benedict,abbreviation_expansion,19,Dove: Candlesby; Dove: Glastonbury,S -> Saint
dedication,S Columba,Saint Columba,abbreviation_expansion,18,Dove: Collingtree; Dove: St Columb Major,S -> Saint
dedication,S Hugh,Saint Hugh,abbreviation_expansion,18,Dove: Durleigh; Dove: Quethiock,S -> Saint
dedication,S Werburgh,Saint Werburgh,abbreviation_expansion,18,Dove: Blackwell; Dove: Hanbury,S -> Saint
dedication,St James the Great,Saint James the Great,abbreviation_expansion,18,MP: Melsonby; MP: Kimbolton,St -> Saint
dedication,St Matthew,Saint Matthew,abbreviation_expansion,18,MP: Pentrich; MP: Stretton,St -> Saint
